variant_and_allele,p_value,trait,gene,location,af,tissues
rs79926713-<b>T</b>,8e-06,late-onset alzheimers disease,SYNGAP1,6:33427745,0.16175124580494255,Adipose_Subcutaneous&Artery_Tibial&Nerve_Tibial&Thyroid&Cells_Cultured_fibroblasts&Artery_Aorta&Esophagus_Mucosa&Prostate
rs184457411-<b>A</b>,8e-06,late-onset alzheimers disease,SHANK2,11:70820116,0.0002846975088967972,
rs7155434-<b>A</b>,8e-06,alzheimer disease,NRXN3,14:78308963,0.7176050659796653,
rs73215707-<b>T</b>,8e-06,late-onset alzheimers disease,CYRIA,2:16736702,0.9808599167822468,Muscle_Skeletal
rs41458646-<b>G</b>,8e-06,alzheimer disease,UNKNOWN,2:23016071,0.17370520927431496,
rs75045569-<b>T</b>,8e-06,alzheimer disease,EPHA1-AS1,7:143412115,0.8492853361566967,Whole_Blood&Adipose_Subcutaneous&Testis&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Adipose_Visceral_Omentum&Spleen&Esophagus_Mucosa
rs61310603-<b>T</b>,8e-06,alzheimer disease,UNKNOWN,10:128547890,0.7794931286810637,
rs113884973-<b>C</b>,8e-06,late-onset alzheimers disease,UNKNOWN,2:53256902,0.02345156167284277,
rs340849-<b>?</b>,8e-06,alzheimer disease,PROX1-AS1,1:213944747,-1.0,Heart_Atrial_Appendage&Brain_Hippocampus&Testis&Liver&Brain_Cerebellar_Hemisphere&Pituitary&Thyroid&Adrenal_Gland&Pancreas&Brain_Cerebellum&Spleen
rs114179644-<b>T</b>,8e-06,late-onset alzheimers disease,CPSF6,12:69160349,0.9916782246879334,
rs10060040-<b>A</b>,8e-06,late-onset alzheimers disease,ADGRV1,5:11930025,0.012343966712898752,
rs10060040-<b>A</b>,8e-06,late-onset alzheimers disease,CTNND2,5:11930025,0.012343966712898752,
rs78538083-<b>C</b>,8e-06,alzheimer disease,IL21-AS1,4:122647254,0.05784262636789995,Muscle_Skeletal
rs141104697-<b>A</b>,8e-06,late-onset alzheimers disease,GTF2H3,12:123635804,0.0017337031900138695,
rs144216026-<b>A</b>,8e-06,late-onset alzheimers disease,ABCA8,17:68920354,0.00010613457864572278,
rs186542490-<b>A</b>,8e-06,late-onset alzheimers disease,UNKNOWN,6:78644638,-1.0,
rs7260181-<b>T</b>,8e-06,late-onset alzheimers disease,PPP5D1,19:46595170,0.5382317319337909,
rs17022021-<b>T</b>,8e-06,late-onset alzheimers disease,RBMS3,3:28837197,0.8445535667141877,
rs185126971-<b>A</b>,8e-06,late-onset alzheimers disease,ERO1A,14:52702250,0.00035587188612099647,
rs185126971-<b>A</b>,8e-06,late-onset alzheimers disease,PSMC6,14:52702250,0.00035587188612099647,
rs17767225-<b>T</b>,8e-06,alzheimer disease,FOXN3,14:71199580,0.1393550044969806,
rs17767225-<b>T</b>,8e-06,alzheimer disease,PCNX1,14:71199580,0.1393550044969806,
rs75770912-<b>A</b>,8e-06,late-onset alzheimers disease,AOX1,2:200653321,0.004426674282450378,Heart_Atrial_Appendage
rs61233297-<b>A</b>,8e-06,late-onset alzheimers disease,IQGAP2,5:76567335,0.048279512969825314,Thyroid
rs2271920-<b>A</b>,8e-06,alzheimer disease,PTK2B,8:27458600,0.4089564623847317,Thyroid&Whole_Blood&Brain_Cerebellar_Hemisphere&Brain_Cerebellum
rs9390537-<b>?</b>,8e-06,alzheimer disease,UNKNOWN,6:148102235,-1.0,
rs181634374-<b>T</b>,8e-06,late-onset alzheimers disease,RPL23AP44,5:121563422,0.00185283218634198,
rs4760243-<b>A</b>,8e-06,late-onset alzheimers disease,LINC02388,12:58828030,0.6127051349920593,
rs4760243-<b>A</b>,8e-06,late-onset alzheimers disease,LRIG3,12:58828030,0.6127051349920593,
rs146997164-<b>C</b>,9e-06,late-onset alzheimers disease,OR7E39P,7:6830481,0.99763644177052,
rs146997164-<b>C</b>,9e-06,late-onset alzheimers disease,CCZ1B,7:6830481,0.99763644177052,
rs71636213-<b>G</b>,9e-06,alzheimer disease,SERINC5,5:80285949,0.08321863419798835,Skin_Not_Sun_Exposed_Suprapubic&Esophagus_Muscularis&Skin_Sun_Exposed_Lower_leg&Thyroid&Muscle_Skeletal
rs71636213-<b>G</b>,9e-06,alzheimer disease,KRT18P45,5:80285949,0.08321863419798835,Skin_Not_Sun_Exposed_Suprapubic&Esophagus_Muscularis&Skin_Sun_Exposed_Lower_leg&Thyroid&Muscle_Skeletal
rs12044355-<b>?</b>,9e-06,alzheimer disease,TSNAX-DISC1,1:231708601,-1.0,Nerve_Tibial&Spleen&Whole_Blood&Skin_Sun_Exposed_Lower_leg
rs12044355-<b>?</b>,9e-06,alzheimer disease,DISC1,1:231708601,-1.0,Nerve_Tibial&Spleen&Whole_Blood&Skin_Sun_Exposed_Lower_leg
rs956225-<b>A</b>,9e-06,alzheimer disease,HAS2-AS1,8:121897448,0.8530747975838581,
rs11889338-<b>A</b>,9e-06,alzheimer disease,ZFYVE9P2,2:17246318,0.0279916833513014,
rs10273775-<b>G</b>,9e-06,alzheimer disease,CNTNAP2,7:147200311,0.5558223641722344,
rs117756856-<b>A</b>,9e-06,late-onset alzheimers disease,HDAC9,7:18212452,0.008940124691212798,
rs149839710-<b>A</b>,9e-06,late-onset alzheimers disease,KIFC3,16:57869386,0.011569731081926205,
rs149839710-<b>A</b>,9e-06,late-onset alzheimers disease,CNGB1,16:57869386,0.011569731081926205,
rs1357692-<b>?</b>,9e-06,alzheimer disease,DHFRP3,2:107062032,-1.0,Brain_Cerebellar_Hemisphere
rs201850688-<b>G</b>,9e-06,late-onset alzheimers disease,BSG,19:572671,0.0010107391029690461,
rs112920270-<b>A</b>,9e-06,late-onset alzheimers disease,STK31,7:23931916,0.026576341844710787,Artery_Aorta
rs147582129-<b>T</b>,9e-06,late-onset alzheimers disease,FAT3,11:92422052,0.003120665742024965,
rs185170954-<b>A</b>,9e-06,late-onset alzheimers disease,SEMA3A,7:83870966,0.9994306049822064,
rs116530595-<b>T</b>,9e-06,late-onset alzheimers disease,TXN,9:110213589,0.006966397377356282,
rs116530595-<b>T</b>,9e-06,late-onset alzheimers disease,C9orf152,9:110213589,0.006966397377356282,
rs283814-<b>G</b>,9e-06,alzheimer disease,NECTIN2,19:44885967,0.931145259495506,
rs141846544-<b>T</b>,9e-06,late-onset alzheimers disease,RNU6-1213P,8:80432793,0.9977808599167822,
rs141846544-<b>T</b>,9e-06,late-onset alzheimers disease,Y_RNA,8:80432793,0.9977808599167822,
rs6085820-<b>A</b>,9e-06,alzheimer disease,UNKNOWN,20:6999988,-1.0,
rs71316816-<b>C</b>,9e-06,alzheimer disease,CADM2,3:85855884,0.9450365225721472,Adipose_Subcutaneous
rs186891871-<b>C</b>,9e-06,late-onset alzheimers disease,ADGRL2,1:81589710,0.9993594306049822,
